URL,Keyword Matches,Total Count
https://www.longmores.law/,"{""law"": 197, ""tax"": 2}",199
https://www.noblesolicitors.co.uk/,"{""law"": 190}",190
https://www.farleys.com/,"{""law"": 163}",163
https://djm.law.co.uk/,"{""law"": 157}",157
https://www.saunders.co.uk/,"{""law"": 128}",128
https://andrewjackson.co.uk/,"{""law"": 111, ""tax"": 6}",117
https://www.msbsolicitors.co.uk/,"{""law"": 99}",99
https://www.dmhstallard.com/griffith-smith/,"{""law"": 80, ""tax"": 10}",90
https://www.wrigleys.co.uk/,"{""law"": 79, ""tax"": 4}",83
https://www.alsterskelley.com/,"{""law"": 44, ""tax"": 32}",76
https://www.kuits.com/,"{""law"": 56, ""tax"": 13}",69
https://coolebevislaw.com/,"{""law"": 66}",66
https://www.onepumpcourt.co.uk/,"{""law"": 60}",60
https://www.blakemorgan.co.uk/,"{""law"": 42, ""tax"": 16}",58
https://www.schofieldsweeney.co.uk/,"{""law"": 45, ""tax"": 12}",57
https://www.3pb.co.uk,"{""law"": 52}",52
https://palmerslaw.co.uk/,"{""law"": 45}",45
https://www.bermans.co.uk/,"{""law"": 16, ""tax"": 26}",42
https://www.chattertons.com/site/about/andrew-co-merger-with-chattertons,"{""law"": 32, ""tax"": 8}",40
https://curtislaw.co.uk/,"{""law"": 37, ""tax"": 2}",39
https://www.deloitte.com/uk/en/services/legal.html?icid=top_legal,"{""law"": 22, ""tax"": 15}",37
https://www.kingschambers.com/,"{""law"": 36}",36
https://www.landmarkchambers.co.uk/,"{""law"": 32, ""tax"": 4}",36
https://www.187chambers.com/,"{""law"": 30, ""tax"": 4}",34
https://www.brightllp.co.uk/,"{""law"": 33}",33
https://www.star-legal.co.uk/,"{""law"": 33}",33
https://www.berrysmith.com/,"{""law"": 26, ""tax"": 5}",31
https://www.pearsonlegal.co.uk,"{""law"": 23, ""tax"": 6}",29
https://www.wake-smith.co.uk/,"{""law"": 26}",26
https://www.tcyoung.co.uk/,"{""law"": 18, ""tax"": 8}",26
https://www.wilkinsonwoodward.co.uk/,"{""law"": 21}",21
https://www.williamsons-solicitors.co.uk/,"{""law"": 15}",15
https://bhwsolicitors.com/,"{""law"": 12}",12
https://www.mathys-squire.com/,"{""law"": 11}",11
https://www.woodfines.co.uk/,"{""law"": 11}",11
https://vhsfletchers.co.uk/,"{""law"": 10}",10
https://www.cloisters.com/,"{""law"": 9}",9
https://www.fieldingsporter.co.uk,"{""law"": 2, ""tax"": 4}",6
https://www.lincolnhousechambers.com/,"{""law"": 6}",6
https://www.morganlaroche.com/,"{""law"": 5}",5
https://butterworths-solicitors.co.uk/,"{""law"": 5}",5
http://www.rotherasharp.co.uk/cgi-sys/defaultwebpage.cgi,{},0
https://www.barkerbrettell.co.uk/,{},0
https://www.clearlawonline.co.uk/,{},0
